project	field_data_id	sample_id	sample_id_class	canonical_candidate	taxon_name	sample_name	taxon_name_final	unified_taxon_name	unified_taxon_source	unified_taxon_status	taxon_candidate_fields_present	taxon_unified_conflict	date	latitude	longitude	coordinate_status	issue
jbp	76162	dbgi_009963	canonical	dbgi_009963	Oryza sativa			Oryza sativa	taxon_name	resolved_from_primary_taxon_field	taxon_name;name_proposition	taxon_name=Oryza sativa;name_proposition=Tabernaemontana brahyantha	20260128160802	14.412126	50.12193	out_of_ch_range	taxon_unified_conflict
jbp	76163	dbgi_010047	canonical	dbgi_010047				Typhonium roxburghii	name_proposition	resolved_from_fallback_taxon_field	name_proposition		20260128160901	14.412135	50.121956	out_of_ch_range	
jbp	76164	dbgi_010078	canonical	dbgi_010078				Typhonium roxburghii	name_proposition	resolved_from_fallback_taxon_field	name_proposition		20260128161152	14.412135	50.121956	out_of_ch_range	
jbp	76165	dbgi_009932	canonical	dbgi_009932	Codariocalyx motorius			Codariocalyx motorius	taxon_name	resolved_from_primary_taxon_field	taxon_name		20260209091226	14.4120245	50.12179	out_of_ch_range	
jbp	76166	dbgi_010008	canonical	dbgi_010008	Codariocalyx motorius			Codariocalyx motorius	taxon_name	resolved_from_primary_taxon_field	taxon_name		20260209091549	14.4120245	50.12179	out_of_ch_range	
jbp	76167	dbgi_009944	canonical	dbgi_009944				Toccoca sp.	name_proposition	resolved_from_fallback_taxon_field	name_proposition		20260209091750	14.412012	50.12178	out_of_ch_range	
jbp	76168	dbgi_009962	canonical	dbgi_009962				Toccoca sp.	name_proposition	resolved_from_fallback_taxon_field	name_proposition		20260209092134	14.412012	50.12178	out_of_ch_range	
jbp	76169	dbgi_010012	canonical	dbgi_010012	Dacrydium balansae			Dacrydium balansae	taxon_name	resolved_from_primary_taxon_field	taxon_name		20260209092251	14.41201	50.12177	out_of_ch_range	
jbp	76170	dbgi_010056	canonical	dbgi_010056	Homalomena sp.			Homalomena sp.	taxon_name	resolved_from_primary_taxon_field	taxon_name		20260209092514	14.41201	50.121796	out_of_ch_range	
jbp	76171	dbgi_009966	canonical	dbgi_009966	Homalomena sp.			Homalomena sp.	taxon_name	resolved_from_primary_taxon_field	taxon_name		20260209093342	14.41201	50.121796	out_of_ch_range	
jbp	76172	dbgi_010020	canonical	dbgi_010020	Homalomena sp.			Homalomena sp.	taxon_name	resolved_from_primary_taxon_field	taxon_name		20260209093446	14.41201	50.121796	out_of_ch_range	
jbp	76173	dbgi_010069	canonical	dbgi_010069	Monstera tenuis			Monstera tenuis	taxon_name	resolved_from_primary_taxon_field	taxon_name		20260209093624	14.412061	50.12182	out_of_ch_range	
jbp	76174	dbgi_010061	canonical	dbgi_010061	Monstera tenuis			Monstera tenuis	taxon_name	resolved_from_primary_taxon_field	taxon_name		20260209093831	14.412061	50.12182	out_of_ch_range	
jbp	76175	dbgi_009993	canonical	dbgi_009993				Pilea diversifolia	name_proposition	resolved_from_fallback_taxon_field	name_proposition		20260209094024	14.412049	50.121838	out_of_ch_range	
jbp	76176	dbgi_009919	canonical	dbgi_009919				Pilea diversifolia	name_proposition	resolved_from_fallback_taxon_field	name_proposition		20260209094248	14.412049	50.121838	out_of_ch_range	
jbp	76177	dbgi_009974	canonical	dbgi_009974				Amorphophallus verticillatus	name_proposition	resolved_from_fallback_taxon_field	name_proposition		20260209094424	14.412055	50.121853	out_of_ch_range	
jbp	76178	dbgi_009935	canonical	dbgi_009935				Amorphophallus verticillatus	name_proposition	resolved_from_fallback_taxon_field	name_proposition		20260209094734	14.412055	50.121853	out_of_ch_range	
jbp	76179	dbgi_010071	canonical	dbgi_010071	Manihot esculenta			Manihot esculenta	taxon_name	resolved_from_primary_taxon_field	taxon_name		20260209095131	14.41207	50.121838	out_of_ch_range	
jbp	76180	dbgi_010016	canonical	dbgi_010016	Manihot esculenta			Manihot esculenta	taxon_name	resolved_from_primary_taxon_field	taxon_name		20260209095339	14.41207	50.121838	out_of_ch_range	
