backup_kind	field_data_id	target_field	old_value	new_value	directus_row_json
field_data_unified_taxon_update	65811	taxon_name_unified		Abutilon theophrasti Medik.	"{""id"": 65811, ""taxon_name_unified"": null}"
field_data_unified_taxon_update	65812	taxon_name_unified		Anoda cristata (L.) Schltdl.	"{""id"": 65812, ""taxon_name_unified"": null}"
field_data_unified_taxon_update	65813	taxon_name_unified		Abelmoschus manihot (L.) Medik.	"{""id"": 65813, ""taxon_name_unified"": null}"
field_data_unified_taxon_update	65814	taxon_name_unified		Lavatera trimestris L.	"{""id"": 65814, ""taxon_name_unified"": null}"
field_data_unified_taxon_update	65815	taxon_name_unified		Malope trifida Cav.	"{""id"": 65815, ""taxon_name_unified"": null}"
field_data_unified_taxon_update	65816	taxon_name_unified		Modiola multifida Moench	"{""id"": 65816, ""taxon_name_unified"": null}"
field_data_unified_taxon_update	65817	taxon_name_unified		Malva verticillata L.	"{""id"": 65817, ""taxon_name_unified"": null}"
field_data_unified_taxon_update	65818	taxon_name_unified		Malva sylvestris L.	"{""id"": 65818, ""taxon_name_unified"": null}"
field_data_unified_taxon_update	65819	taxon_name_unified		Napaea dioica L.	"{""id"": 65819, ""taxon_name_unified"": null}"
field_data_unified_taxon_update	65820	taxon_name_unified		Alcea rosea L.	"{""id"": 65820, ""taxon_name_unified"": null}"
field_data_unified_taxon_update	65822	taxon_name_unified		Kitaibelia vitifolia Willd.	"{""id"": 65822, ""taxon_name_unified"": null}"
field_data_unified_taxon_update	65823	taxon_name_unified		Althaea armeniaca Ten.	"{""id"": 65823, ""taxon_name_unified"": null}"
field_data_unified_taxon_update	65824	taxon_name_unified		Althaea cannabina L.	"{""id"": 65824, ""taxon_name_unified"": null}"
field_data_unified_taxon_update	65825	taxon_name_unified		Tilia mongolica Maxim.	"{""id"": 65825, ""taxon_name_unified"": null}"
field_data_unified_taxon_update	65826	taxon_name_unified		Poncirus trifoliata (L.) Raf.	"{""id"": 65826, ""taxon_name_unified"": null}"
field_data_unified_taxon_update	65827	taxon_name_unified		Zanthoxylum simulans Hance	"{""id"": 65827, ""taxon_name_unified"": null}"
field_data_unified_taxon_update	65828	taxon_name_unified		Ruta graveolens L.	"{""id"": 65828, ""taxon_name_unified"": null}"
