field_data_id	sample_id	project	target_field	current_value	new_value	unified_taxon_source	unified_taxon_status	taxon_candidate_fields_present	taxon_unified_conflict	skip_reason
73585	dbgi_009257	jbc	taxon_name_unified	Geum rivale	Geum rivale	taxon_name	resolved_from_primary_taxon_field	taxon_name		target_field_already_populated
73586	dbgi_009325	jbc	taxon_name_unified	Juncus arcticus	Juncus arcticus	taxon_name	resolved_from_primary_taxon_field	taxon_name		target_field_already_populated
73587	dbgi_009396	jbc	taxon_name_unified	Carex canescens	Carex canescens	taxon_name	resolved_from_primary_taxon_field	taxon_name		target_field_already_populated
73588	dbgi_009295	jbc	taxon_name_unified	Pinguicula vulgaris	Pinguicula vulgaris	taxon_name	resolved_from_primary_taxon_field	taxon_name		target_field_already_populated
73589	dbgi_009320	jbc	taxon_name_unified	Carex rostrata	Carex rostrata	taxon_name	resolved_from_primary_taxon_field	taxon_name		target_field_already_populated
73590	dbgi_009192	jbc	taxon_name_unified	Cotoneaster microphylla	Cotoneaster microphylla	taxon_name	resolved_from_primary_taxon_field	taxon_name		target_field_already_populated
73591	dbgi_009331	jbc	taxon_name_unified	Carex riparia	Carex riparia	taxon_name	resolved_from_primary_taxon_field	taxon_name		target_field_already_populated
73592	dbgi_009330	jbc	taxon_name_unified	Hieracium waldsteinii	Hieracium waldsteinii	taxon_name	resolved_from_primary_taxon_field	taxon_name		target_field_already_populated
73593	dbgi_009194	jbc	taxon_name_unified	Carum appuanum	Carum appuanum	taxon_name	resolved_from_primary_taxon_field	taxon_name		target_field_already_populated
73594	dbgi_009404	jbc	taxon_name_unified	Koeleria vallesiana	Koeleria vallesiana	taxon_name	resolved_from_primary_taxon_field	taxon_name		target_field_already_populated
73595	dbgi_009151	jbc	taxon_name_unified	Astragalus sempervirens	Astragalus sempervirens	taxon_name	resolved_from_primary_taxon_field	taxon_name		target_field_already_populated
73596	dbgi_009207	jbc	taxon_name_unified	Dianthus tymphresteus	Dianthus tymphresteus	taxon_name	resolved_from_primary_taxon_field	taxon_name		target_field_already_populated
73597	dbgi_009384	jbc	taxon_name_unified	Potentilla cinerea	Potentilla cinerea	taxon_name	resolved_from_primary_taxon_field	taxon_name		target_field_already_populated
73598	dbgi_009389	jbc	taxon_name_unified	Saponaria bellidifolia	Saponaria bellidifolia	taxon_name	resolved_from_primary_taxon_field	taxon_name		target_field_already_populated
73599	dbgi_009414	jbc	taxon_name_unified	Astragalus monspessulanus	Astragalus monspessulanus	taxon_name	resolved_from_primary_taxon_field	taxon_name		target_field_already_populated
73600	dbgi_009166	jbc	taxon_name_unified	Silene vallesia	Silene vallesia	taxon_name	resolved_from_primary_taxon_field	taxon_name		target_field_already_populated
73601	dbgi_009160	jbc	taxon_name_unified	Linum campanulatum	Linum campanulatum	taxon_name	resolved_from_primary_taxon_field	taxon_name		target_field_already_populated
73602	dbgi_009159	jbc	taxon_name_unified	Potentilla pedata	Potentilla pedata	taxon_name	resolved_from_primary_taxon_field	taxon_name		target_field_already_populated
73603	dbgi_009143	jbc	taxon_name_unified	Erodium amanum	Erodium amanum	name_proposition	resolved_from_fallback_taxon_field	name_proposition		target_field_already_populated
73604	dbgi_009140	jbc	taxon_name_unified	Sedum acre	Sedum acre	taxon_name	resolved_from_primary_taxon_field	taxon_name		target_field_already_populated
73605	dbgi_009173	jbc	taxon_name_unified	Aethionema cordifolium	Aethionema cordifolium	taxon_name	resolved_from_primary_taxon_field	taxon_name		target_field_already_populated
73606	dbgi_009324	jbc	taxon_name_unified	Globularia cordifolia	Globularia cordifolia	taxon_name	resolved_from_primary_taxon_field	taxon_name		target_field_already_populated
73607	dbgi_009288	jbc	taxon_name_unified	Saxifraga caucasica	Saxifraga caucasica	taxon_name	resolved_from_primary_taxon_field	taxon_name		target_field_already_populated
73608	dbgi_009353	jbc	taxon_name_unified	Scutellaria orientalis	Scutellaria orientalis	taxon_name	resolved_from_primary_taxon_field	taxon_name		target_field_already_populated
73609	dbgi_009079	jbc	taxon_name_unified	Saxifraga praecutiana	Saxifraga praecutiana	taxon_name	resolved_from_primary_taxon_field	taxon_name		target_field_already_populated
73610	dbgi_009019	jbc	taxon_name_unified	Saxifraga lingulata	Saxifraga lingulata	taxon_name	resolved_from_primary_taxon_field	taxon_name		target_field_already_populated
73611	dbgi_009393	jbc	taxon_name_unified	Dianthus patraeus	Dianthus patraeus	taxon_name	resolved_from_primary_taxon_field	taxon_name		target_field_already_populated
73612	dbgi_009018	jbc	taxon_name_unified	Erodium daucoides	Erodium daucoides	taxon_name	resolved_from_primary_taxon_field	taxon_name		target_field_already_populated
73613	dbgi_009020	jbc	taxon_name_unified	Globularia meridionalis	Globularia meridionalis	taxon_name	resolved_from_primary_taxon_field	taxon_name		target_field_already_populated
73614	dbgi_009319	jbc	taxon_name_unified	Ephedra gerardiana	Ephedra gerardiana	taxon_name	resolved_from_primary_taxon_field	taxon_name		target_field_already_populated
73615	dbgi_009027	jbc	taxon_name_unified	Androsace primuloides	Androsace primuloides	taxon_name	resolved_from_primary_taxon_field	taxon_name		target_field_already_populated
73616	dbgi_009245	jbc	taxon_name_unified	Lomelosia graminifolia	Lomelosia graminifolia	taxon_name	resolved_from_primary_taxon_field	taxon_name		target_field_already_populated
73617	dbgi_009329	jbc	taxon_name_unified	Saxifraga prawislava	Saxifraga prawislava	taxon_name	resolved_from_primary_taxon_field	taxon_name		target_field_already_populated
73618	dbgi_009178	jbc	taxon_name_unified	Sesleria caerulea	Sesleria caerulea	taxon_name	resolved_from_primary_taxon_field	taxon_name		target_field_already_populated
73619	dbgi_009097	jbc	taxon_name_unified	Thuja occidentalis	Thuja occidentalis	taxon_name	resolved_from_primary_taxon_field	taxon_name		target_field_already_populated
73620	dbgi_009388	jbc	taxon_name_unified	Adenostyles glabra	Adenostyles glabra	name_proposition	resolved_from_fallback_taxon_field	name_proposition		target_field_already_populated
73621	dbgi_009383	jbc	taxon_name_unified	Polygonum affine	Polygonum affine	taxon_name	resolved_from_primary_taxon_field	taxon_name		target_field_already_populated
73622	dbgi_009304	jbc	taxon_name_unified	Dianthus gratianopolitanus	Dianthus gratianopolitanus	taxon_name	resolved_from_primary_taxon_field	taxon_name		target_field_already_populated
73623	dbgi_009203	jbc	taxon_name_unified	Erinus alpinus	Erinus alpinus	taxon_name	resolved_from_primary_taxon_field	taxon_name		target_field_already_populated
73624	dbgi_009348	jbc	taxon_name_unified	Salix reticulata	Salix reticulata	taxon_name	resolved_from_primary_taxon_field	taxon_name		target_field_already_populated
73625	dbgi_009343	jbc	taxon_name_unified	Biscutella laevigata	Biscutella laevigata	taxon_name	resolved_from_primary_taxon_field	taxon_name		target_field_already_populated
73626	dbgi_009308	jbc	taxon_name_unified	Dryas drummondii	Dryas drummondii	taxon_name	resolved_from_primary_taxon_field	taxon_name		target_field_already_populated
73627	dbgi_009220	jbc	taxon_name_unified	Ptilostemon afer	Ptilostemon afer	taxon_name	resolved_from_primary_taxon_field	taxon_name		target_field_already_populated
73628	dbgi_009314	jbc	taxon_name_unified	Dianthus carthusianorum	Dianthus carthusianorum	taxon_name	resolved_from_primary_taxon_field	taxon_name		target_field_already_populated
73629	dbgi_009363	jbc	taxon_name_unified	Minuartia laricifolia	Minuartia laricifolia	taxon_name	resolved_from_primary_taxon_field	taxon_name		target_field_already_populated
73630	dbgi_009251	jbc	taxon_name_unified	Achillea millefolium	Achillea millefolium	taxon_name	resolved_from_primary_taxon_field	taxon_name		target_field_already_populated
73631	dbgi_009303	jbc	taxon_name_unified	Cotoneaster splendens	Cotoneaster splendens	taxon_name	resolved_from_primary_taxon_field	taxon_name		target_field_already_populated
73632	dbgi_009313	jbc	taxon_name_unified	Thymus serpyllum	Thymus serpyllum	taxon_name	resolved_from_primary_taxon_field	taxon_name		target_field_already_populated
73633	dbgi_009358	jbc	taxon_name_unified	Teucrium chamaedrys	Teucrium chamaedrys	taxon_name	resolved_from_primary_taxon_field	taxon_name		target_field_already_populated
73634	dbgi_009210	jbc	taxon_name_unified	Thymus pulegioides	Thymus pulegioides	taxon_name	resolved_from_primary_taxon_field	taxon_name		target_field_already_populated
73635	dbgi_009369	jbc	taxon_name_unified	Euphorbia seguieriana	Euphorbia seguieriana	taxon_name	resolved_from_primary_taxon_field	taxon_name		target_field_already_populated
73636	dbgi_009273	jbc	taxon_name_unified	Helianthemum canum	Helianthemum canum	taxon_name	resolved_from_primary_taxon_field	taxon_name		target_field_already_populated
73637	dbgi_009029	jbc	taxon_name_unified	Hypericum tomentosum	Hypericum tomentosum	taxon_name	resolved_from_primary_taxon_field	taxon_name		target_field_already_populated
73638	dbgi_009410	jbc	taxon_name_unified	Gypsophila tenuifolia	Gypsophila tenuifolia	taxon_name	resolved_from_primary_taxon_field	taxon_name		target_field_already_populated
73639	dbgi_009318	jbc	taxon_name_unified	Convallaria majalis	Convallaria majalis	taxon_name	resolved_from_primary_taxon_field	taxon_name		target_field_already_populated
73640	dbgi_009333	jbc	taxon_name_unified	Rhamnus cathartica	Rhamnus cathartica	taxon_name	resolved_from_primary_taxon_field	taxon_name		target_field_already_populated
73641	dbgi_009395	jbc	taxon_name_unified	Corylus avellana	Corylus avellana	taxon_name	resolved_from_primary_taxon_field	taxon_name		target_field_already_populated
73642	dbgi_009323	jbc	taxon_name_unified	Alnus rubra	Alnus rubra	taxon_name	resolved_from_primary_taxon_field	taxon_name		target_field_already_populated
73643	dbgi_009215	jbc	taxon_name_unified	Primula auricula	Primula auricula	taxon_name	resolved_from_primary_taxon_field	taxon_name		target_field_already_populated
73644	dbgi_009044	jbc	taxon_name_unified	Viola hirta	Viola hirta	taxon_name	resolved_from_primary_taxon_field	taxon_name		target_field_already_populated
73645	dbgi_009235	jbc	taxon_name_unified	Saponaria boissieri	Saponaria boissieri	taxon_name	resolved_from_primary_taxon_field	taxon_name		target_field_already_populated
73646	dbgi_009328	jbc	taxon_name_unified	Microbiota decussata	Microbiota decussata	taxon_name	resolved_from_primary_taxon_field	taxon_name		target_field_already_populated
73647	dbgi_009250	jbc	taxon_name_unified	Potentilla neumanniana	Potentilla neumanniana	taxon_name	resolved_from_primary_taxon_field	taxon_name		target_field_already_populated
73648	dbgi_009255	jbc	taxon_name_unified	Viola alba	Viola alba	taxon_name	resolved_from_primary_taxon_field	taxon_name		target_field_already_populated
73649	dbgi_009334	jbc	taxon_name_unified	Achillea ageratifolia	Achillea ageratifolia	taxon_name	resolved_from_primary_taxon_field	taxon_name		target_field_already_populated
73650	dbgi_009150	jbc	taxon_name_unified	Globularia trichosantha	Globularia trichosantha	taxon_name	resolved_from_primary_taxon_field	taxon_name		target_field_already_populated
73651	dbgi_009169	jbc	taxon_name_unified	Vincetoxicum hirundinaria	Vincetoxicum hirundinaria	taxon_name	resolved_from_primary_taxon_field	taxon_name		target_field_already_populated
73652	dbgi_009156	jbc	taxon_name_unified	Viola collina	Viola collina	taxon_name	resolved_from_primary_taxon_field	taxon_name		target_field_already_populated
73653	dbgi_009161	jbc	taxon_name_unified	Teucrium botrys	Teucrium botrys	taxon_name	resolved_from_primary_taxon_field	taxon_name		target_field_already_populated
73654	dbgi_009227	jbc	taxon_name_unified	Helianthemum appeninum	Helianthemum appeninum	taxon_name	resolved_from_primary_taxon_field	taxon_name		target_field_already_populated
73655	dbgi_009171	jbc	taxon_name_unified	Potentilla cinerea	Potentilla cinerea	taxon_name	resolved_from_primary_taxon_field	taxon_name		target_field_already_populated
73656	dbgi_009148	jbc	taxon_name_unified	Allium lineare	Allium lineare	taxon_name	resolved_from_primary_taxon_field	taxon_name		target_field_already_populated
73657	dbgi_009130	jbc	taxon_name_unified	Gentiana dinarica	Gentiana dinarica	taxon_name	resolved_from_primary_taxon_field	taxon_name		target_field_already_populated
73658	dbgi_009170	jbc	taxon_name_unified	Globularia fuxeensis	Globularia fuxeensis	name_proposition	resolved_from_fallback_taxon_field	name_proposition		target_field_already_populated
73659	dbgi_009175	jbc	taxon_name_unified	Viola suavis	Viola suavis	taxon_name	resolved_from_primary_taxon_field	taxon_name		target_field_already_populated
73660	dbgi_009417	jbc	taxon_name_unified	Viola collina	Viola collina	taxon_name	resolved_from_primary_taxon_field	taxon_name		target_field_already_populated
73661	dbgi_009176	jbc	taxon_name_unified	Hepatica nobilis	Hepatica nobilis	taxon_name	resolved_from_primary_taxon_field	taxon_name		target_field_already_populated
73662	dbgi_009340	jbc	taxon_name_unified	Taxus cuspidata	Taxus cuspidata	taxon_name	resolved_from_primary_taxon_field	taxon_name		target_field_already_populated
73663	dbgi_009246	jbc	taxon_name_unified	Saxifraga apiculata	Saxifraga apiculata	taxon_name	resolved_from_primary_taxon_field	taxon_name		target_field_already_populated
73664	dbgi_009232	jbc	taxon_name_unified	Thymus argaeus	Thymus argaeus	taxon_name	resolved_from_primary_taxon_field	taxon_name		target_field_already_populated
73665	dbgi_009350	jbc	taxon_name_unified	Anthyllis montana	Anthyllis montana	taxon_name	resolved_from_primary_taxon_field	taxon_name		target_field_already_populated
73666	dbgi_009256	jbc	taxon_name_unified	Ptilostemon afer	Ptilostemon afer	taxon_name	resolved_from_primary_taxon_field	taxon_name		target_field_already_populated
