filename,injection,file_type,sample_id,container_id,ATTRIBUTE_Species,genus,family,NCBITaxonomy_ID,Ionization.mode,organ,is_wild,collector,latitude,longitude,x_coord,y_coord,date_created
250403_ML_Metabo_DDA_sample_94_nr8.mzML,94,sample,dbgi_003369,dbgi_003369_01_01,Rosa x,Rosa,Rosaceae,3764,positive,Leaf,1,Mazzarine Laboureau,47.000122,6.934765,2561678,1205575.4,2025-03-04T13:03:37.391Z
250403_ML_Metabo_DDA_sample_95_nr8.mzML,95,sample,dbgi_003450,dbgi_003450_01_01,Salvia candelabrum,Salvia,Lamiaceae,268895,positive,Leaf,0,Mazzarine Laboureau,46.999676,6.933925,2561613.8,1205526,2025-03-04T13:03:39.976Z
250403_ML_Metabo_DDA_sample_96_nr8.mzML,96,sample,dbgi_003437,dbgi_003437_01_01,Geum urbanum,Geum,Rosaceae,57919,positive,Leaf,0,Mazzarine Laboureau,46.999622,6.9338765,2561610,1205520.4,2025-03-04T13:03:40.643Z
250403_ML_Metabo_DDA_sample_97_nr8.mzML,97,sample,dbgi_002043,dbgi_002043_01_01,NA,NA,NA,NA,NA,Leaf,0,Mazzarine Laboureau,46.999683,6.93394,2561615,1205527.1,2025-03-04T13:03:40.207Z
250403_ML_Metabo_DDA_sample_98_nr8.mzML,98,sample,dbgi_003735,dbgi_003735_01_01,Cistus monspeliensis,Cistus,Cistaceae,335184,positive,Leaf,0,Mazzarine Laboureau,46.99965,6.933783,2561603,1205523.2,2025-03-04T13:03:41.884Z
250403_ML_Metabo_DDA_sample_99_nr8.mzML,99,sample,dbgi_001980,dbgi_001980_01_01,Primula veris,Primula,Primulaceae,170927,positive,Leaf,0,Mazzarine Laboureau,47.00026,6.9349756,2561694,1205590.4,2025-03-04T13:03:24.678Z
250404_ML_Metabo_DDA_Blank_B2_nr8.mzML,NA,blank,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
250404_ML_Metabo_DDA_Blank_B3_nr8.mzML,NA,blank,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
250404_ML_Metabo_DDA_Blank_B4_nr8.mzML,NA,blank,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
250404_ML_Metabo_DDA_QC3_1_nr8.mzML,NA,QC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
250404_ML_Metabo_DDA_QC3_2_nr8.mzML,NA,QC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
